         3411122 function calls (3342073 primitive calls) in 14.481 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:112(InvalidModificationErr)
        1    0.000    0.000    0.000    0.000 __init__.py:112(ParserWarning)
        1    0.000    0.000    0.000    0.000 __init__.py:112(UnimplementedHmacDigestAuthOptionError)
        1    0.000    0.000    0.000    0.000 __init__.py:1125(ResourceManager)
        1    0.000    0.000    0.000    0.000 __init__.py:1129(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1134(_StderrHandler)
        1    0.000    0.000    0.000    0.000 __init__.py:1140(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:1142(resource_filename)
       28    0.000    0.000    0.000    0.000 __init__.py:1146(stream)
        1    0.000    0.000    0.000    0.000 __init__.py:115(NamespaceErr)
        1    0.000    0.000    0.000    0.000 __init__.py:1150(_initialize)
        1    0.000    0.000    0.000    0.000 __init__.py:1158(PlaceHolder)
        1    0.000    0.000    0.000    0.000 __init__.py:116(Affine)
        1    0.000    0.000    0.000    0.000 __init__.py:116(MalformedHeader)
        1    0.000    0.000    0.000    0.000 __init__.py:116(_ensure_pynumpy)
       14    0.000    0.000    0.000    0.000 __init__.py:1164(__init__)
        7    0.000    0.000    0.000    0.000 __init__.py:117(getLevelName)
       26    0.000    0.000    0.000    0.000 __init__.py:1170(append)
        1    0.000    0.000    0.000    0.000 __init__.py:118(InvalidAccessErr)
        2    0.000    0.000    0.000    0.000 __init__.py:1181(setLoggerClass)
        1    0.000    0.000    0.000    0.000 __init__.py:1186(rc_context)
        2    0.000    0.000    0.012    0.006 __init__.py:119(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:1194(getLoggerClass)
        5    0.000    0.000    0.000    0.000 __init__.py:12(<listcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:120(PEP440Warning)
        1    0.000    0.000    0.000    0.000 __init__.py:120(RelativeURIError)
        1    0.000    0.000    0.000    0.000 __init__.py:1200(Manager)
        1    0.000    0.000    0.000    0.000 __init__.py:1205(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:121(ValidationErr)
       98    0.001    0.000    0.002    0.000 __init__.py:1216(getLogger)
        1    0.000    0.000    0.000    0.000 __init__.py:1227(HTTPSConnectionWithTimeout)
